t1,t2,x1,x2,y1,y2,z1,z2,num_EQ
13.534078,16.936724,42.763,42.771,13.153,13.163,5.301,6.64,31
21.189318,23.352065,42.512,42.518,13.414,13.421,9.786,10.828,30
31.959698,34.152999,42.905,42.914,13.173,13.183,4.573,5.337,52
33.400373,35.318887,42.766,42.773,13.219,13.227,6.343,7.093,97
43.21394,47.283527,42.896,42.905,13.219,13.228,2.722,3.792,50
54.623879,57.830113,42.632,42.653,13.287,13.31,6.468,7.906,27
56.921319,57.148958,42.863,42.881,13.066,13.09,1.165,3.237,114
72.571283,76.237535,42.523,42.529,13.451,13.464,9.863,11.278,124
82.026167,86.479576,42.763,42.77,13.101,13.11,4.584,5.328,162
89.020661,90.444182,42.458,42.473,13.239,13.256,6.073,7.706,175
97.068055,97.56827,42.824,42.83,13.244,13.252,6.72,7.563,35
102.087155,105.277018,42.64,42.653,13.299,13.319,3.41,5.043,59
106.713142,109.27656,42.536,42.568,13.261,13.295,5.47,7.275,183
106.752272,110.370567,42.843,42.852,13.189,13.197,7.09,7.929,202
107.175469,112.307429,42.562,42.573,13.232,13.242,6.574,7.548,203
109.95508,114.754406,42.594,42.599,13.215,13.223,6.191,6.967,41
110.441715,116.008903,42.858,42.867,13.202,13.212,7.403,8.468,198
112.653355,116.76462,42.526,42.538,13.19,13.201,3.29,4.675,170
114.11671,120.97335,42.862,42.884,13.227,13.245,6.056,8.48,208
121.261717,121.989624,42.858,42.867,13.202,13.212,7.403,8.468,198
126.483873,128.237149,42.82,42.829,13.195,13.204,5.691,6.929,4
126.720572,127.062353,42.862,42.884,13.227,13.245,6.056,8.48,208
127.383999,132.802861,43.034,43.044,13.114,13.129,5.654,6.733,254
140.766394,140.934109,42.862,42.884,13.227,13.245,6.056,8.48,208
141.45679,142.146443,42.54,42.597,13.221,13.254,0.225,4.42,223
147.241135,147.810118,42.54,42.597,13.221,13.254,0.225,4.42,223
151.50189,152.426056,42.655,42.668,13.303,13.322,6.422,7.94,63
161.386713,164.367456,42.503,42.51,13.28,13.287,7.914,8.852,235
165.447544,166.04121,42.979,42.993,13.019,13.045,3.204,5.111,216
210.39647,212.208895,42.761,42.781,13.056,13.086,4.69,7.823,186
230.977613,243.134993,42.491,42.499,13.323,13.332,8.236,9.536,255
241.715562,242.515577,42.457,42.464,13.321,13.332,7.181,8.28,265
249.290359,251.739359,42.469,42.486,13.305,13.331,7.365,9.497,215
272.006539,272.810984,42.62,42.655,13.308,13.337,5.81,7.653,103
280.371241,284.488102,42.729,42.734,13.053,13.059,7.736,8.261,267
280.908872,290.765697,42.932,42.936,13.21,13.218,7.786,8.563,268
286.635314,300.201529,42.565,42.575,13.258,13.27,3.276,4.388,212
306.85712,309.308035,42.917,42.931,13.21,13.221,7.5,8.686,154
307.306504,311.60305,42.701,42.706,13.485,13.493,17.678,18.182,271
320.985824,322.108332,42.493,42.499,13.341,13.348,8.791,9.444,243
322.987726,326.65531,43.221,43.228,12.613,12.622,3.118,4.102,276
