t1,t2,x1,x2,y1,y2,z1,z2,num_EQ,mean,Q2,Q3,min,max
13.534078,16.936724,42.763,42.771,13.153,13.163,5.301,6.64,31,20.580853756970363,15.502178540528092,32.51990584342522,1.803081217877685,62.43829340534527
21.189318,23.352065,42.512,42.518,13.414,13.421,9.786,10.828,30,56.788511881647786,35.77744385496892,76.68242012581246,9.8098844395613,222.70297785694444
31.959698,34.152999,42.905,42.914,13.173,13.183,4.573,5.337,52,37.845191875270444,24.581778708020096,39.38069756725274,10.088345079049331,165.586412452102
33.400373,35.318887,42.766,42.773,13.219,13.227,6.343,7.093,97,355.8977695380295,195.6085872169178,321.8020917137299,3.9503480750447655,3046.458491995556
43.21394,47.283527,42.896,42.905,13.219,13.228,2.722,3.792,50,31.333575583105265,22.733218434318783,40.61400374798931,3.7411070767197185,213.68536017853535
54.623879,57.830113,42.632,42.653,13.287,13.31,6.468,7.906,27,15.437777346731284,13.440235453608434,25.55912660743504,3.834724237523661,29.93640177755762
56.921319,57.148958,42.863,42.881,13.066,13.09,1.165,3.237,114,11.053451849697982,10.717313116015314,11.415615723975991,10.030696281565989,12.595732487110253
72.571283,76.237535,42.523,42.529,13.451,13.464,9.863,11.278,124,156.3079308907101,5.743112589053219,17.445714186891237,0.5903072726446297,4601.22699386748
82.026167,86.479576,42.763,42.77,13.101,13.11,4.584,5.328,162,35.08426631748551,29.71974282515901,39.34348832482,3.3998938099833347,137.92152265360636
89.020661,90.444182,42.458,42.473,13.239,13.256,6.073,7.706,175,27.336284888516076,16.177004715922422,43.06767837679888,2.686349263799432,91.20353068887522
97.068055,97.56827,42.824,42.83,13.244,13.252,6.72,7.563,35,650.494397836416,10.060632075977885,793.9658594682024,0.4440211442868908,7033.997655339668
102.087155,105.277018,42.64,42.653,13.299,13.319,3.41,5.043,59,12.216360060807867,10.918048718169905,15.625124855095798,7.279097255882394,20.759519015525335
106.713142,109.27656,42.536,42.568,13.261,13.295,5.47,7.275,183,21.767098555776112,17.797978009114054,29.952312216343508,10.044244546027931,41.52252350087781
106.752272,110.370567,42.843,42.852,13.189,13.197,7.09,7.929,202,76.25660275710979,53.88765770560065,97.06499714871386,7.079433008210359,295.8798727716048
107.175469,112.307429,42.562,42.573,13.232,13.242,6.574,7.548,203,78.55934994861165,53.06795169239515,125.60708421850272,1.0318321815440459,389.96880249590123
109.95508,114.754406,42.594,42.599,13.215,13.223,6.191,6.967,41,123.97259790480823,87.23915262194365,170.52945915628274,3.981085861074042,791.7656373714684
110.441715,116.008903,42.858,42.867,13.202,13.212,7.403,8.468,198,10.167941728804658,10.653990785185778,13.828198462304423,1.3229019574208578,34.31699177250084
112.653355,116.76462,42.526,42.538,13.19,13.201,3.29,4.675,170,32.20117550872631,24.328898908791125,34.105858087147844,6.6566457732518245,148.80636040901206
114.11671,120.97335,42.862,42.884,13.227,13.245,6.056,8.48,208,10.33501134306244,12.287894280159836,14.62826699006588,1.9853350604785283,16.42872790891117
121.261717,121.989624,42.858,42.867,13.202,13.212,7.403,8.468,198,138.61722018210023,111.16124118156425,235.25190321483058,15.598251436014007,362.0674048819249
126.483873,128.237149,42.82,42.829,13.195,13.204,5.691,6.929,4,229.10753612597043,182.89685760331255,331.5512453893371,14.410299040724288,734.3491830369857
126.720572,127.062353,42.862,42.884,13.227,13.245,6.056,8.48,208,12.287301015199592,12.726942781658275,12.987429096641431,10.054407723791915,13.162669967422767
127.383999,132.802861,43.034,43.044,13.114,13.129,5.654,6.733,254,11.792620841530123,11.571829591068955,13.662972783225786,6.102097860563827,22.4824187485383
140.766394,140.934109,42.862,42.884,13.227,13.245,6.056,8.48,208,11.298172307954378,11.33227422510983,11.597498656843008,10.096307226304914,13.224336573387433
141.45679,142.146443,42.54,42.597,13.221,13.254,0.225,4.42,223,10.171135313248348,10.186816906959589,10.298790773897332,9.679886007323635,10.613326698460872
147.241135,147.810118,42.54,42.597,13.221,13.254,0.225,4.42,223,11.41385316991564,11.71206148376366,11.92526309561459,10.00446440831218,12.169067964755035
151.50189,152.426056,42.655,42.668,13.303,13.322,6.422,7.94,63,24.4518638071043,28.325441358737404,29.9930485839298,11.083801105784856,37.54372470377073
161.386713,164.367456,42.503,42.51,13.28,13.287,7.914,8.852,235,56.30367100451533,28.479750897112236,69.49833783142039,1.0061652777393477,349.8542274052297
165.447544,166.04121,42.979,42.993,13.019,13.045,3.204,5.111,216,18.33443054651996,15.12581748863892,24.44574408205727,8.99948140488401,34.13841515252527
210.39647,212.208895,42.761,42.781,13.056,13.086,4.69,7.823,186,16.992440567958575,17.998144965168773,19.439128941895447,10.118361569765051,21.344076573060732
230.977613,243.134993,42.491,42.499,13.323,13.332,8.236,9.536,255,34.079149996161306,20.382927260126802,28.828926330811917,6.809747017898283,276.3257881043027
241.715562,242.515577,42.457,42.464,13.321,13.332,7.181,8.28,265,788.5032580571401,519.0087283467298,990.3234372655783,78.12347415088625,4016.064257025439
249.290359,251.739359,42.469,42.486,13.305,13.331,7.365,9.497,215,19.80334217346059,5.529499048448365,31.42476366994861,2.1211793317875847,74.23665072179764
272.006539,272.810984,42.62,42.655,13.308,13.337,5.81,7.653,103,24.422183202442834,25.05047826964292,25.820877598207503,10.845957028048616,26.522686369233515
280.371241,284.488102,42.729,42.734,13.053,13.059,7.736,8.261,267,5530.419566284345,1759.7891659525203,4472.285497336852,4.634929757639536,68965.51724652482
280.908872,290.765697,42.932,42.936,13.21,13.218,7.786,8.563,268,278.5743407119777,105.82716098525333,225.76775380798685,8.84572176666763,4424.778761104256
286.635314,300.201529,42.565,42.575,13.258,13.27,3.276,4.388,212,27.821871901302057,24.191245530771095,49.595700311920204,4.599316974374462,73.7031497257768
306.85712,309.308035,42.917,42.931,13.21,13.221,7.5,8.686,154,134.23782042394888,115.379646141474,186.34146193689966,16.463408897767003,429.39516623737575
307.306504,311.60305,42.701,42.706,13.485,13.493,17.678,18.182,271,1616.7228417170058,278.9931171486235,1260.3249579569751,16.078118217044057,10416.666666752622
320.985824,322.108332,42.493,42.499,13.341,13.348,8.791,9.444,243,3267.6969155308357,2618.128376505675,3140.33692288661,17.153320668464534,23121.38728273534
322.987726,326.65531,43.221,43.228,12.613,12.622,3.118,4.102,276,17.192176280384853,9.375483068653558,22.9027784694485,0.1817899595171939,138.2333774363527
