N,max_m,V2,plana,I,duration,v
180,1.7358,0.0403,0.0669,1,3.4026,0.0373524940075239
86,1.9626,0.0152,0.3706,2,2.0668,0.0977819132001023
66,1.3078,0.0246,0.4368,3,2.1842,0.1129863611097147
69,0.7173,0.0093,0.4461,4,1.918,0.0364950862737264
90,1.5348,0.0229,0.4009,5,4.0596,0.0601436716364917
166,1.5023,0.0244,0.3296,6,3.1943,0.0455649466563948
53,1.2729,0.1146,0.5108,7,0.2259,0.0153552914896765
161,2.1737,0.0259,0.6164,8,3.6663,0.0279838646914765
110,1.1609,0.0156,0.1055,9,4.4534,0.1041924811271813
523,2.4513,0.1044,0.6143,10,1.4172,0.0170851816980758
102,2.3205,0.0083,0.4228,11,0.5002,0.0956083546571212
251,2.0582,0.0538,0.4356,12,3.1772,0.1548584202030227
1009,2.0887,0.9274,0.1601,13,2.5538,0.0700266843011897
202,2.2569,0.0493,0.4398,14,4.9087,0.1425914458645882
72,1.3143,0.0157,0.3954,15,4.7798,0.0359448653643142
100,1.4667,0.0162,0.4393,16,5.502,0.004682580390095
194,1.7312,0.0599,0.4903,17,4.1113,0.0048775367790596
2165,2.1463,0.0749,0.555,18,6.8566,0.0973302107045226
55,1.2168,0.0062,0.4365,19,0.7222,0.0485573445424604
228,1.7912,0.0224,0.3506,20,1.6528,0.2177490169403285
176,1.1585,0.0932,0.4489,21,0.3416,0.134708578043282
76,1.8884,0.0258,0.3519,22,5.3327,0.8711470639552088
106,1.1799,0.0364,0.7107,23,0.1622,0.0036102375083779
365,2.3131,0.3926,0.6542,24,0.6889,0.8897392795221857
329,2.2404,0.5967,0.7058,25,0.5662,0.2812278921307429
70,1.1307,0.0167,0.4863,26,0.9029,0.2367426317824732
60,1.6532,0.0189,0.6233,27,2.8948,0.0893921685183745
190,1.5926,0.0434,0.7093,28,0.5934,0.1256785916646969
464,2.0994,0.1065,0.4344,29,1.8107,0.1437742930085782
200,1.4191,0.0321,0.4288,30,12.1574,0.0695812101178776
156,1.8158,0.0343,0.1562,31,0.7974,0.0250357282479907
343,2.757,0.1743,0.4786,32,2.449,0.2144916491441873
116,0.9489,0.0479,0.4377,33,0.8044,0.0671035320336594
53,1.6275,0.0091,0.4623,34,4.1169,0.1849476859559189
64,0.9682,0.0067,0.261,35,9.6573,0.0104978083365886
143,1.5899,0.0357,0.4038,36,13.5315,0.0146112764971089
147,1.2913,0.008,0.5109,37,2.4509,0.0111561373391393
67,1.9991,0.0104,0.0802,38,4.2686,0.0585007108391071
53,1.3668,0.0148,0.1435,39,1.1174,0.0069675381821112
118,2.2297,0.0409,0.416,40,3.6675,0.1464995159456285
